Time Stamp,Title,Link
2017-10-25 0:45:32,AN ACT FOR THE HUMANITARIAN MEDICAL USE OF MARIJUANA.,https://malegislature.gov/Laws/SessionLaws/Acts/2012/Chapter369
2017-10-25 0:45:32,AN ACT TO ENSURE SAFE ACCESS TO MARIJUANA,https://malegislature.gov/Laws/SessionLaws/Acts/2017/Chapter55
2017-10-25 0:45:32,AN ACT THE REGULATION AND TAXATION OF MARIJUANA ACT,https://malegislature.gov/Laws/SessionLaws/Acts/2016/Chapter334
2017-10-25 0:45:32,Study: Perceived Marijuana Access Declining Among Youth,http://norml.org/news/2017/09/28/study-perceived-marijuana-access-declining-among-youth
2017-10-25 0:45:32,Massachusetts: Field Sobriety Tests Are Not Valid Measures For Determining Marijuana-Induced Impairment,http://norml.org/news/2017/09/28/massachusetts-field-sobriety-tests-are-not-valid-measures-for-determining-marijuana-induced-impairment
2017-10-25 0:45:32,Hispanic Caucus Of State Legislators Advocates For Marijuana Decriminalization,http://norml.org/news/2017/08/17/hispanic-caucus-of-state-legislators-advocates-for-marijuana-decriminalization
2017-10-25 0:45:32,National Conference Of State Legislatures Endorses Resolution Calling For Marijuana To Be Descheduled,http://norml.org/news/2017/08/10/national-conference-of-state-legislatures-endorses-resolution-calling-for-marijuana-to-be-descheduled
2017-10-25 0:45:32,Poll: Nearly Six In Ten Voters Say Legalizing Marijuana &quot;Makes Societies Better&quot;,http://norml.org/news/2017/08/10/poll-nearly-six-in-ten-voters-say-legalizing-marijuana-makes-societies-better
2017-10-25 0:45:32,Massachusetts: Medical Marijuana Patients Afforded Workplace Protections,http://norml.org/news/2017/07/20/massachusetts-medical-marijuana-patients-afforded-workplace-protections
2017-10-25 0:45:32,Study: Marijuana Use Linked To Lower Prevalence Of Fatty Liver Disease ,http://norml.org/news/2017/05/04/study-marijuana-use-linked-to-lower-prevalence-of-fatty-liver-disease
2017-10-25 0:45:32,Massachusetts: Governor Signs Legislation Delaying Retail Marijuana Sales,http://norml.org/news/2017/01/05/massachusetts-governor-signs-legislation-delaying-retail-marijuana-sales
2017-10-25 22:35:17,AN ACT FOR THE HUMANITARIAN MEDICAL USE OF MARIJUANA.,https://malegislature.gov/Laws/SessionLaws/Acts/2012/Chapter369
